year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2017,Halle,SF,W,Khachanov,27.3,42.9,55.6,59.5,36.0,28.8,50.0,55.6,59.5,41.7,60.0,46.9,33.3,26.1,30.4,47.1,42,grass
2017,Stuttgart,R16,L,Haas,40.4,55.3,50.0,52.8,49.4,48.6,65.7,50.0,52.8,60.6,62.1,39.0,0.0,18.2,27.3,44.4,47,grass
2017,Miami,F,W,Nadal,24.2,40.3,65.2,81.5,35.3,30.8,53.8,65.2,81.5,48.5,61.1,52.4,0.0,13.6,18.2,42.1,-13,hard
2017,Miami,SF,W,Kyrgios,29.5,48.4,66.3,77.1,39.0,36.0,57.3,66.3,77.1,51.5,51.6,59.1,,20.5,36.4,51.4,18,hard
2017,Miami,QF,W,Berdych,30.6,44.7,53.7,51.6,36.1,40.4,53.8,53.7,51.6,49.4,54.5,46.7,0.0,17.9,35.7,56.5,49,hard
2017,Indian Wells,F,W,Wawrinka,31.6,45.6,63.2,60.0,41.4,44.4,55.6,63.2,60.0,60.0,60.0,52.4,100.0,10.0,30.0,66.7,-13,hard
2017,Indian Wells,SF,W,Sock,38.7,53.2,61.1,66.7,44.7,45.5,60.6,61.1,66.7,56.7,35.7,52.6,,33.3,48.1,55.6,25,hard
2017,Indian Wells,R16,W,Nadal,40.0,60.0,60.0,57.1,44.4,41.7,58.3,60.0,57.1,50.0,41.7,66.7,0.0,42.1,68.4,63.6,-3,hard
2017,Indian Wells,R32,W,Johnson,41.0,57.7,64.3,72.7,48.5,53.2,70.2,64.3,72.7,65.5,42.1,57.1,,25.9,44.4,55.0,116,hard
2017,Indian Wells,R64,W,Robert,29.3,43.9,60.7,66.7,35.4,37.5,58.3,60.7,66.7,47.9,44.4,46.7,,18.8,25.0,53.8,10,hard
2017,Dubai,R16,L,Donskoy,40.4,54.1,47.6,53.3,48.5,43.8,60.0,47.6,53.3,54.9,52.9,47.8,50.0,33.3,40.7,33.3,25,hard
2017,Dubai,R32,W,Paire,34.5,50.9,52.8,47.4,40.0,42.4,60.6,52.8,47.4,51.5,41.2,50.0,,22.7,36.4,58.8,-79,hard
2017,Australian Open,F,W,Nadal,32.6,47.8,51.1,58.3,39.8,43.5,61.2,51.1,58.3,55.2,60.0,42.5,44.4,16.0,28.0,42.9,7,hard
2017,Australian Open,SF,W,Wawrinka,31.5,46.9,52.6,54.7,39.7,38.4,54.7,52.6,54.7,52.1,57.5,43.5,66.7,22.2,37.0,50.0,1,hard
2017,Australian Open,QF,W,Zverev,29.1,48.1,56.4,52.8,37.6,33.3,53.7,56.4,52.8,45.7,42.3,50.0,50.0,20.8,37.5,63.2,-19,hard
2017,Australian Open,R16,W,Nishikori,37.8,52.7,53.8,61.7,47.2,51.0,68.8,53.8,61.7,65.5,50.0,42.3,20.0,17.5,30.0,42.4,49,hard
2017,Australian Open,R32,W,Berdych,32.9,57.1,72.1,90.0,43.3,50.0,77.5,72.1,90.0,68.3,47.4,61.9,,11.5,34.6,56.5,0,hard
2017,Australian Open,R128,W,Melzer,44.7,54.4,44.6,46.7,49.4,55.2,62.7,44.6,46.7,62.5,48.4,50.0,50.0,25.7,40.0,42.3,-37,hard
2016,Wimbledon,SF,L,Raonic,37.5,54.4,54.7,67.3,46.8,43.9,69.4,54.7,67.3,59.1,51.1,56.9,71.4,29.8,33.3,37.5,43,grass
2016,Wimbledon,QF,W,Cilic,45.0,54.4,48.4,52.2,50.7,56.6,67.0,48.4,52.2,65.8,52.5,65.2,50.0,25.4,33.3,44.7,-79,grass
2016,Wimbledon,R64,W,Willis,35.6,46.6,59.6,63.0,45.3,40.0,55.6,59.6,63.0,55.8,59.1,34.8,100.0,28.6,32.1,55.0,-79,grass
2016,Stuttgart,SF,L,Thiem,31.2,45.9,47.9,57.5,38.4,42.0,58.0,47.9,57.5,53.5,58.6,45.0,33.3,13.2,26.3,36.4,-3,grass
2016,Stuttgart,R16,W,Fritz,34.7,56.8,58.3,69.4,45.1,41.9,67.7,58.3,69.4,57.7,46.4,50.0,25.0,22.6,38.7,41.7,13,grass
2016,Rome,R16,L,Thiem,33.3,40.0,43.8,37.0,37.5,42.6,53.2,43.8,37.0,49.1,42.1,57.1,33.3,19.2,19.2,52.4,-23,clay
2016,Rome,R32,W,Zverev,32.2,50.8,65.0,68.4,39.3,42.4,60.6,65.0,68.4,55.2,57.1,57.9,100.0,19.2,38.5,61.9,-79,clay
2016,Monte Carlo,QF,L,Tsonga,25.0,36.9,50.8,54.3,32.6,28.6,44.9,50.8,54.3,41.6,32.0,58.3,25.0,22.6,29.0,45.8,94,clay
2016,Australian Open,SF,L,Djokovic,28.0,36.0,39.4,38.9,32.8,36.8,47.4,39.4,38.9,45.3,45.2,38.5,0.0,16.7,21.4,40.0,-44,hard
2016,Australian Open,QF,W,Berdych,35.6,52.9,60.4,68.8,46.9,46.7,63.3,60.4,68.8,63.0,37.9,58.1,0.0,12.5,33.3,47.6,4,hard
2016,Australian Open,R32,W,Dimitrov,33.0,48.2,55.7,54.1,39.6,47.1,61.4,55.7,54.1,57.7,58.8,58.3,60.0,10.8,29.7,57.6,-13,hard
2016,Australian Open,R64,W,Dolgopolov,56.9,58.3,48.1,57.1,59.3,70.8,72.9,48.1,57.1,74.4,60.9,36.0,,35.0,35.0,38.5,59,hard
