year,tourney,round,opponent,overall: Unret%,overall: <=3 W%,overall: RiP W%,overall: SvImpact,1st: Unret%,1st: <=3 W%,1st: RiP W%,1st: SvImpact,1st: D Wide%,1st: A Wide%,1st: A BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface_clay,surface_grass,surface_hard,result_W
2017,Beijing,F,Kyrgios,25.0,30.4,56.1,29.8,31.6,39.5,57.7,38.7,66.7,45.0,0.0,11.8,11.8,53.3,4,False,False,True,True
2017,Beijing,QF,Isner,27.9,35.3,67.3,34.4,22.5,32.5,64.5,33.5,60.0,44.0,0.0,35.7,39.3,72.2,-79,False,False,True,True
2017,Beijing,R16,Khachanov,23.7,42.4,60.0,30.5,29.7,51.4,57.7,40.5,53.3,63.6,66.7,13.6,27.3,63.2,-79,False,False,True,True
2017,Beijing,R32,Pouille,28.4,41.2,68.2,36.1,32.9,49.3,71.4,43.6,22.6,61.9,66.7,22.7,27.3,58.8,72,False,False,True,True
2017,US Open,F,Anderson,37.5,45.8,68.2,40.4,45.5,52.3,70.8,50.2,33.3,78.3,60.80416666666667,25.9,37.0,65.0,-25,False,False,True,True
2017,US Open,SF,del,21.1,41.1,71.0,30.8,25.8,48.5,69.4,38.9,43.5,60.5,100.0,9.1,22.7,75.0,-26,False,False,True,True
2017,US Open,R128,Lajovic,29.6,41.8,53.1,37.0,36.1,54.1,48.7,48.0,48.0,38.9,66.7,21.9,25.0,60.0,90,False,False,True,True
2017,Cincinnati,QF,Kyrgios,23.2,37.5,43.9,30.9,33.3,47.2,54.2,45.3,35.3,15.8,0.0,5.6,22.2,29.4,-63,False,False,True,False
2017,Canada,R16,Shapovalov,30.5,39.0,58.2,36.2,45.0,55.0,57.6,55.0,56.0,28.6,33.3,12.8,20.5,58.8,4,False,False,True,False
2017,Wimbledon,R16,Muller,34.5,48.6,60.5,42.3,42.0,56.3,65.2,53.7,56.7,40.7,66.7,19.6,33.9,53.3,-27,False,True,False,False
2017,Roland Garros,F,Wawrinka,26.2,38.5,68.8,35.2,28.6,45.2,76.7,42.6,36.8,43.5,100.0,21.7,26.1,55.6,-79,True,False,False,True
2017,Roland Garros,SF,Thiem,25.7,33.8,66.0,32.3,28.6,38.8,60.0,38.6,37.5,32.0,75.0,21.7,26.1,77.8,42,True,False,False,True
2017,Rome,QF,Thiem,18.6,31.4,43.9,23.7,22.6,34.0,41.5,29.4,16.0,75.0,60.0,5.9,23.5,50.0,-79,True,False,False,False
2017,Madrid,F,Thiem,25.3,35.6,60.7,31.4,30.0,41.7,59.5,38.8,37.5,63.9,75.0,17.4,26.1,63.2,45,True,False,False,True
2017,Madrid,SF,Djokovic,22.8,29.8,58.1,28.4,27.8,38.9,69.2,36.7,71.4,40.9,100.0,15.0,15.0,41.2,-7,True,False,False,True
2017,Madrid,R32,Fognini,24.6,31.1,50.6,29.2,31.2,36.4,52.8,38.4,44.4,78.0,90.9,15.0,25.0,47.1,29,True,False,False,True
2017,Barcelona,F,Thiem,20.8,32.1,64.3,27.7,25.7,40.0,61.5,36.3,26.7,80.0,100.0,11.1,16.7,68.8,-79,True,False,False,True
2017,Barcelona,SF,Zeballos,25.4,40.7,65.9,38.3,26.7,44.4,69.7,43.6,63.6,47.8,0.0,21.4,28.6,54.5,-79,True,False,False,True
2017,Barcelona,QF,Chung,16.7,33.3,69.4,29.2,23.3,44.2,75.8,40.7,42.1,66.7,100.0,0.0,6.3,56.3,-118,True,False,False,True
2017,Barcelona,R16,Anderson,34.7,46.9,71.9,44.7,33.3,47.2,79.2,46.9,42.1,64.7,60.80416666666667,38.5,46.2,50.0,-79,True,False,False,True
2017,Monte Carlo,F,Ramos,26.8,48.8,72.4,42.4,25.8,51.6,73.9,46.5,60.0,50.0,60.80416666666667,33.3,44.4,66.7,72,True,False,False,True
2017,Monte Carlo,SF,Goffin,21.4,33.3,66.7,29.5,24.1,31.0,59.1,35.9,62.5,38.5,0.0,15.4,38.5,81.8,-79,True,False,False,True
2017,Monte Carlo,QF,Schwartzman,12.1,24.1,48.0,20.2,12.5,30.0,48.6,24.3,52.6,71.4,66.7,11.8,11.8,46.7,4,True,False,False,True
2017,Monte Carlo,R16,Zverev,22.9,37.1,80.0,31.7,28.6,52.4,73.3,43.3,55.6,50.0,60.80416666666667,16.7,16.7,90.0,39,True,False,False,True
2017,Monte Carlo,R32,Edmund,9.6,23.3,57.1,19.7,14.9,36.2,60.0,30.6,55.6,69.0,50.0,0.0,0.0,52.2,-118,True,False,False,True
2017,Miami,F,Federer,27.7,38.5,45.7,31.5,31.7,43.9,50.0,37.8,47.1,41.7,57.1,21.7,30.4,38.9,-16,False,False,True,False
2017,Miami,SF,Fognini,40.0,54.0,70.0,48.2,37.1,57.1,72.7,48.9,46.2,63.6,60.80416666666667,46.7,46.7,62.5,-79,False,False,True,True
2017,Miami,QF,Sock,23.0,44.3,56.5,31.3,26.2,47.6,61.3,38.3,61.9,61.9,66.7,16.7,38.9,46.7,1,False,False,True,True
2017,Miami,R16,Mahut,30.0,51.7,75.0,42.3,31.6,57.9,88.5,51.1,30.8,60.0,60.80416666666667,30.0,45.0,50.0,59,False,False,True,True
2017,Miami,R32,Kohlschreiber,30.5,39.0,61.0,41.9,31.3,41.7,66.7,45.2,20.0,46.4,66.7,27.3,27.3,37.5,-79,False,False,True,True
2017,Miami,R64,Sela,33.9,48.2,61.8,39.3,39.5,55.3,69.6,47.4,29.4,76.2,100.0,26.7,40.0,45.5,-79,False,False,True,True
2017,Indian Wells,R16,Federer,18.5,24.1,47.7,24.6,15.2,24.2,50.0,25.2,25.0,35.3,33.3,23.8,23.8,43.8,-79,False,False,True,False
2017,Indian Wells,R32,Verdasco,23.2,42.9,66.7,38.6,24.4,48.8,74.2,45.4,42.9,25.9,0.0,21.4,28.6,45.5,22,False,False,True,True
